tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-08-01,64,51,34,76,18,76,O3,SEDANG,DKI2
2017-08-02,58,51,35,94,15,94,O3,SEDANG,DKI3
2017-08-03,54,51,33,107,11,107,O3,TIDAK SEHAT,DKI5
2017-08-04,64,51,35,104,14,104,O3,TIDAK SEHAT,DKI3
2017-08-05,79,51,37,94,15,94,O3,SEDANG,DKI3
2017-08-06,81,51,39,116,13,116,O3,TIDAK SEHAT,DKI3
2017-08-07,85,50,40,94,15,94,O3,SEDANG,DKI3
2017-08-08,74,51,38,133,15,133,O3,TIDAK SEHAT,DKI3
2017-08-09,68,51,39,153,17,153,O3,TIDAK SEHAT,DKI2
2017-08-10,58,50,32,107,18,107,O3,TIDAK SEHAT,DKI3
2017-08-11,61,50,33,128,14,128,O3,TIDAK SEHAT,DKI3
2017-08-12,72,51,33,97,14,97,O3,SEDANG,DKI3
2017-08-13,69,51,28,101,9,101,O3,TIDAK SEHAT,DKI3
2017-08-14,80,51,35,118,18,118,O3,TIDAK SEHAT,DKI1
2017-08-15,88,50,38,120,23,120,O3,TIDAK SEHAT,DKI3
2017-08-16,66,51,34,134,16,134,O3,TIDAK SEHAT,DKI3
2017-08-17,72,51,35,125,15,125,O3,TIDAK SEHAT,DKI3
2017-08-18,73,51,34,129,10,129,O3,TIDAK SEHAT,DKI3
2017-08-19,60,51,31,81,11,81,O3,SEDANG,DKI3
2017-08-20,58,50,30,88,6,88,O3,SEDANG,DKI5
2017-08-21,86,51,32,90,8,90,O3,SEDANG,DKI3
2017-08-22,92,51,42,137,10,137,O3,TIDAK SEHAT,DKI3
2017-08-23,101,52,42,99,10,101,PM10,TIDAK SEHAT,DKI4
2017-08-24,61,51,37,71,9,71,O3,SEDANG,DKI3
2017-08-25,70,51,31,81,5,81,O3,SEDANG,DKI3
2017-08-26,71,52,37,71,9,71,PM10,SEDANG,DKI3
2017-08-27,77,51,37,64,7,77,PM10,SEDANG,DKI4
2017-08-28,66,51,35,55,7,66,PM10,SEDANG,DKI4
2017-08-29,77,52,36,154,8,154,O3,TIDAK SEHAT,DKI3
2017-08-30,62,51,34,85,16,85,O3,SEDANG,DKI3
2017-08-31,74,51,31,82,11,82,O3,SEDANG,DKI3
