tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-04-01,81,27,66,84,17,84,O3,SEDANG,DKI3
2016-04-02,57,26,37,102,13,102,O3,TIDAK SEHAT,DKI3
2016-04-03,58,27,48,80,15,80,O3,SEDANG,DKI5
2016-04-04,50,27,39,66,11,66,O3,SEDANG,DKI3
2016-04-05,54,27,40,66,11,66,O3,SEDANG,DKI3
2016-04-06,67,27,42,98,12,98,O3,SEDANG,DKI3
2016-04-07,64,27,44,77,16,77,O3,SEDANG,DKI3
2016-04-08,65,27,38,49,19,65,PM10,SEDANG,DKI4
2016-04-09,70,26,39,94,22,94,O3,SEDANG,DKI2
2016-04-10,61,26,45,76,16,76,O3,SEDANG,DKI3
2016-04-11,80,27,44,139,13,139,O3,TIDAK SEHAT,DKI3
2016-04-12,99,27,59,85,16,99,PM10,SEDANG,DKI4
2016-04-13,71,26,34,70,20,71,PM10,SEDANG,DKI4
2016-04-14,73,27,41,123,18,123,O3,TIDAK SEHAT,DKI2
2016-04-15,65,27,62,117,22,117,O3,TIDAK SEHAT,DKI2
2016-04-16,69,27,58,78,16,78,O3,SEDANG,DKI5
2016-04-17,65,27,38,78,11,78,O3,SEDANG,DKI3
2016-04-18,47,27,47,93,17,93,O3,SEDANG,DKI5
2016-04-19,54,27,46,80,16,80,O3,SEDANG,DKI5
2016-04-20,55,27,38,99,15,99,O3,SEDANG,DKI3
2016-04-21,51,27,51,135,20,135,O3,TIDAK SEHAT,DKI5
2016-04-22,53,28,41,69,17,69,O3,SEDANG,DKI3
2016-04-23,55,30,32,65,8,65,O3,SEDANG,DKI5
2016-04-24,63,28,39,57,11,63,PM10,SEDANG,DKI2
2016-04-25,65,29,42,66,12,66,O3,SEDANG,DKI5
2016-04-26,71,29,49,67,18,71,PM10,SEDANG,DKI1
2016-04-27,66,30,50,76,15,76,O3,SEDANG,DKI3
2016-04-28,60,30,47,82,19,82,O3,SEDANG,DKI5
2016-04-29,57,30,39,74,10,74,O3,SEDANG,DKI5
2016-04-30,71,31,69,66,15,71,PM10,SEDANG,DKI4
