tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-12-01,65,31,36,64,16,65,PM10,SEDANG,DKI4
2016-12-02,43,31,25,43,5,43,PM10,BAIK,DKI2
2016-12-03,25,31,29,34,8,34,O3,BAIK,DKI2
2016-12-04,38,31,28,35,5,38,PM10,BAIK,DKI1
2016-12-05,23,31,26,36,6,36,O3,BAIK,DKI2
2016-12-06,29,31,28,42,7,42,O3,BAIK,DKI3
2016-12-07,54,31,28,56,7,56,O3,SEDANG,DKI2
2016-12-08,61,32,35,74,8,74,O3,SEDANG,DKI3
2016-12-09,55,31,28,54,10,55,PM10,SEDANG,DKI3
2016-12-10,48,31,25,36,14,48,PM10,BAIK,DKI4
2016-12-11,35,31,27,50,8,50,O3,BAIK,DKI3
2016-12-12,32,31,33,54,9,54,O3,SEDANG,DKI2
2016-12-13,47,32,28,46,16,47,PM10,BAIK,DKI4
2016-12-14,39,32,27,53,20,53,O3,SEDANG,DKI2
2016-12-15,45,31,53,33,12,53,CO,SEDANG,DKI5
2016-12-16,34,31,29,39,8,39,O3,BAIK,DKI2
2016-12-17,34,30,25,40,11,40,O3,BAIK,DKI2
2016-12-18,33,29,45,48,13,48,O3,BAIK,DKI2
2016-12-19,28,29,25,37,12,37,O3,BAIK,DKI2
2016-12-20,22,31,22,34,4,34,O3,BAIK,DKI2
2016-12-21,23,32,23,37,5,37,O3,BAIK,DKI2
2016-12-22,28,32,24,34,5,34,O3,BAIK,DKI2
2016-12-23,22,31,28,34,5,34,O3,BAIK,DKI3
2016-12-24,25,31,29,39,4,39,O3,BAIK,DKI2
2016-12-25,30,31,29,42,5,42,O3,BAIK,DKI2
2016-12-26,52,32,39,66,21,66,O3,SEDANG,DKI5
2016-12-27,29,31,34,54,17,54,O3,SEDANG,DKI5
2016-12-28,30,32,30,41,6,41,O3,BAIK,DKI2
2016-12-29,37,32,33,41,7,41,O3,BAIK,DKI3
2016-12-30,66,32,40,41,12,66,PM10,SEDANG,DKI3
2016-12-31,55,33,44,59,14,59,O3,SEDANG,DKI2
