tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-02-01,71,42,22,49,11,71,PM10,SEDANG,DKI4
2016-02-02,52,40,29,51,17,52,PM10,SEDANG,DKI4
2016-02-03,41,43,27,57,15,57,O3,SEDANG,DKI2
2016-02-04,68,45,25,60,18,68,PM10,SEDANG,DKI4
2016-02-05,61,45,27,60,17,61,PM10,SEDANG,DKI4
2016-02-06,65,45,35,87,17,87,O3,SEDANG,DKI2
2016-02-07,64,39,38,59,11,64,PM10,SEDANG,DKI4
2016-02-08,49,40,27,48,10,49,PM10,BAIK,DKI3
2016-02-09,22,41,19,53,7,53,O3,SEDANG,DKI1
2016-02-10,39,43,30,44,10,44,O3,BAIK,DKI5
2016-02-11,53,43,51,65,11,65,O3,SEDANG,DKI5
2016-02-12,46,43,40,52,15,52,O3,SEDANG,DKI5
2016-02-13,73,31,99,114,23,114,O3,TIDAK SEHAT,DKI5
2016-02-14,68,28,54,96,15,96,O3,SEDANG,DKI5
2016-02-15,55,28,44,63,12,63,O3,SEDANG,DKI2
2016-02-16,84,28,33,52,15,84,PM10,SEDANG,DKI4
2016-02-17,71,27,33,58,11,71,PM10,SEDANG,DKI4
2016-02-18,64,28,72,65,16,72,CO,SEDANG,DKI5
2016-02-19,78,27,56,85,16,85,O3,SEDANG,DKI5
2016-02-20,78,27,47,68,15,78,PM10,SEDANG,DKI3
2016-02-21,83,27,42,65,14,83,PM10,SEDANG,DKI4
2016-02-22,65,26,42,64,13,65,PM10,SEDANG,DKI4
2016-02-23,63,27,39,79,21,79,O3,SEDANG,DKI5
2016-02-24,66,27,33,60,14,66,PM10,SEDANG,DKI4
2016-02-25,46,26,33,62,15,62,O3,SEDANG,DKI5
2016-02-26,49,27,32,57,18,57,O3,SEDANG,DKI5
2016-02-27,55,27,37,57,12,57,O3,SEDANG,DKI5
2016-02-28,46,26,26,70,12,70,O3,SEDANG,DKI5
2016-02-29,53,26,30,60,15,60,O3,SEDANG,DKI5
