tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-01-01,73,34,38,61,11,73,PM10,SEDANG,DKI3
2017-01-02,39,32,33,44,15,44,O3,BAIK,DKI5
2017-01-03,55,32,31,55,10,55,PM10,SEDANG,DKI2
2017-01-04,51,33,35,87,15,87,O3,SEDANG,DKI4
2017-01-05,54,32,35,68,12,68,O3,SEDANG,DKI3
2017-01-06,38,31,34,65,13,65,O3,SEDANG,DKI3
2017-01-07,48,32,34,67,20,67,O3,SEDANG,DKI4
2017-01-08,43,33,36,54,14,54,O3,SEDANG,DKI4
2017-01-09,38,32,34,68,11,68,O3,SEDANG,DKI3
2017-01-10,59,32,51,83,17,83,O3,SEDANG,DKI2
2017-01-11,49,32,43,65,20,65,O3,SEDANG,DKI2
2017-01-12,29,32,43,65,19,65,O3,SEDANG,DKI2
2017-01-13,29,32,27,29,5,32,SO2,BAIK,DKI1
2017-01-14,23,31,23,29,6,31,SO2,BAIK,DKI1
2017-01-15,29,32,25,42,7,42,O3,BAIK,DKI2
2017-01-16,27,17,27,34,6,34,O3,BAIK,DKI2
2017-01-17,20,29,30,48,14,48,O3,BAIK,DKI2
2017-01-18,28,29,25,30,6,30,O3,BAIK,DKI3
2017-01-19,24,29,24,29,3,29,SO2,BAIK,DKI3
2017-01-20,27,30,24,30,6,30,SO2,BAIK,DKI2
2017-01-21,53,32,25,55,10,55,O3,SEDANG,DKI3
2017-01-22,63,32,35,50,11,63,PM10,SEDANG,DKI4
2017-01-23,45,33,36,51,12,51,O3,SEDANG,DKI2
2017-01-24,33,28,30,34,15,34,O3,BAIK,DKI2
2017-01-25,30,30,28,34,15,34,O3,BAIK,DKI2
2017-01-26,39,32,28,53,13,53,O3,SEDANG,DKI3
2017-01-27,57,33,29,60,14,60,O3,SEDANG,DKI3
2017-01-28,41,31,28,49,10,49,O3,BAIK,DKI2
2017-01-29,35,30,29,48,13,48,O3,BAIK,DKI2
2017-01-30,39,31,28,54,9,54,O3,SEDANG,DKI3
2017-01-31,32,31,26,42,18,42,O3,BAIK,DKI5
