tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-07-01,41,44,42,69,12,69,O3,SEDANG,DKI3
2017-07-02,57,47,28,62,10,62,O3,SEDANG,DKI3
2017-07-03,51,46,28,60,10,60,O3,SEDANG,DKI3
2017-07-04,65,47,31,85,11,85,O3,SEDANG,DKI3
2017-07-05,70,47,29,86,14,86,O3,SEDANG,DKI5
2017-07-06,59,49,33,93,18,93,O3,SEDANG,DKI3
2017-07-07,118,49,45,143,18,143,O3,TIDAK SEHAT,DKI2
2017-07-08,98,48,70,108,25,108,O3,TIDAK SEHAT,DKI2
2017-07-09,62,47,33,93,11,93,O3,SEDANG,DKI5
2017-07-10,48,47,33,73,11,73,O3,SEDANG,DKI2
2017-07-11,61,50,19,74,17,74,O3,SEDANG,DKI3
2017-07-12,53,50,19,92,16,92,O3,SEDANG,DKI2
2017-07-13,57,50,39,123,18,123,O3,TIDAK SEHAT,DKI3
2017-07-14,78,51,39,143,15,143,O3,TIDAK SEHAT,DKI3
2017-07-15,73,49,52,72,19,73,PM10,SEDANG,DKI2
2017-07-16,73,49,44,94,19,94,O3,SEDANG,DKI3
2017-07-17,70,50,35,120,14,120,O3,TIDAK SEHAT,DKI2
2017-07-18,94,51,48,114,21,114,O3,TIDAK SEHAT,DKI3
2017-07-19,89,51,41,153,19,153,O3,TIDAK SEHAT,DKI5
2017-07-20,76,49,39,122,19,122,O3,TIDAK SEHAT,DKI3
2017-07-21,66,48,32,145,21,145,O3,TIDAK SEHAT,DKI2
2017-07-22,71,50,39,155,19,155,O3,TIDAK SEHAT,DKI3
2017-07-23,67,49,33,91,14,91,O3,SEDANG,DKI3
2017-07-24,75,50,40,94,19,94,O3,SEDANG,DKI5
2017-07-25,71,50,35,108,17,108,O3,TIDAK SEHAT,DKI3
2017-07-26,70,51,42,94,18,94,O3,SEDANG,DKI3
2017-07-27,65,50,38,118,15,118,O3,TIDAK SEHAT,DKI5
2017-07-28,58,50,35,94,15,94,O3,SEDANG,DKI3
2017-07-29,50,50,31,71,12,71,O3,SEDANG,DKI3
2017-07-30,61,37,38,88,17,88,O3,SEDANG,DKI5
2017-07-31,53,30,32,123,12,123,O3,TIDAK SEHAT,DKI2
