tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-06-01,41,41,29,37,11,41,PM10,BAIK,DKI1
2017-06-02,61,43,43,79,15,79,O3,SEDANG,DKI3
2017-06-03,81,45,43,105,11,105,O3,TIDAK SEHAT,DKI3
2017-06-04,80,47,41,95,17,95,O3,SEDANG,DKI3
2017-06-05,82,50,45,98,17,98,O3,SEDANG,DKI3
2017-06-06,53,44,37,84,15,84,O3,SEDANG,DKI3
2017-06-07,60,48,36,95,14,95,O3,SEDANG,DKI3
2017-06-08,68,49,32,59,16,68,PM10,SEDANG,DKI4
2017-06-09,69,47,32,75,16,75,O3,SEDANG,DKI3
2017-06-10,73,46,38,86,16,86,O3,SEDANG,DKI3
2017-06-11,104,46,41,78,16,104,PM10,TIDAK SEHAT,DKI3
2017-06-12,67,47,33,79,14,79,O3,SEDANG,DKI3
2017-06-13,84,46,46,90,17,90,O3,SEDANG,DKI5
2017-06-14,55,44,34,96,19,96,O3,SEDANG,DKI3
2017-06-15,74,47,35,72,14,74,PM10,SEDANG,DKI4
2017-06-16,74,47,38,46,15,74,PM10,SEDANG,DKI4
2017-06-17,67,48,31,85,16,85,O3,SEDANG,DKI3
2017-06-18,55,44,38,93,14,93,O3,SEDANG,DKI2
2017-06-19,65,47,35,120,15,120,O3,TIDAK SEHAT,DKI2
2017-06-20,66,49,37,140,14,140,O3,TIDAK SEHAT,DKI2
2017-06-21,78,48,51,83,15,83,O3,SEDANG,DKI3
2017-06-22,91,48,73,71,22,91,PM10,SEDANG,DKI4
2017-06-23,109,46,47,70,17,109,PM10,TIDAK SEHAT,DKI4
2017-06-24,60,46,33,48,9,60,PM10,SEDANG,DKI4
2017-06-25,66,47,56,49,10,66,PM10,SEDANG,DKI4
2017-06-26,23,44,26,43,4,44,SO2,BAIK,DKI4
2017-06-27,20,44,24,51,5,51,O3,SEDANG,DKI3
2017-06-28,57,44,53,68,14,68,O3,SEDANG,DKI3
2017-06-29,42,44,30,73,10,73,O3,SEDANG,DKI3
2017-06-30,29,44,25,63,6,63,O3,SEDANG,DKI2
,,,,,,,,,
