tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-03-01,27,26,27,59,11,59,O3,SEDANG,DKI5
2016-03-02,52,26,32,51,14,52,PM10,SEDANG,DKI3
2016-03-03,52,26,54,52,16,54,CO,SEDANG,DKI5
2016-03-04,68,26,40,54,12,68,PM10,SEDANG,DKI3
2016-03-05,53,26,30,58,12,58,O3,SEDANG,DKI5
2016-03-06,80,26,43,72,16,80,PM10,SEDANG,DKI4
2016-03-07,54,26,31,102,18,102,O3,TIDAK SEHAT,DKI3
2016-03-08,74,26,28,81,17,81,O3,SEDANG,DKI3
2016-03-09,80,26,39,99,18,99,O3,SEDANG,DKI3
2016-03-10,71,26,39,133,25,133,O3,TIDAK SEHAT,DKI3
2016-03-11,65,26,33,98,20,98,O3,SEDANG,DKI5
2016-03-12,61,26,36,109,24,109,O3,TIDAK SEHAT,DKI2
2016-03-13,65,26,35,78,15,78,O3,SEDANG,DKI3
2016-03-14,74,26,43,71,21,74,PM10,SEDANG,DKI4
2016-03-15,71,26,37,173,20,173,O3,TIDAK SEHAT,DKI2
2016-03-16,60,26,40,119,19,119,O3,TIDAK SEHAT,DKI2
2016-03-17,64,26,30,120,16,120,O3,TIDAK SEHAT,DKI2
2016-03-18,55,26,44,61,15,61,O3,SEDANG,DKI5
2016-03-19,65,26,26,91,14,91,O3,SEDANG,DKI2
2016-03-20,62,26,30,91,11,91,O3,SEDANG,DKI2
2016-03-21,66,26,35,63,14,66,PM10,SEDANG,DKI4
2016-03-22,76,26,45,74,21,76,PM10,SEDANG,DKI5
2016-03-23,39,26,25,74,10,74,O3,SEDANG,DKI2
2016-03-24,52,26,27,122,14,122,O3,TIDAK SEHAT,DKI2
2016-03-25,72,26,50,136,15,136,O3,TIDAK SEHAT,DKI2
2016-03-26,72,26,55,128,16,128,O3,TIDAK SEHAT,DKI3
2016-03-27,63,26,53,88,20,88,O3,SEDANG,DKI3
2016-03-28,63,21,38,63,11,63,PM10,SEDANG,DKI3
2016-03-29,58,26,30,93,12,93,O3,SEDANG,DKI3
2016-03-30,74,27,50,64,20,74,PM10,SEDANG,DKI5
2016-03-31,81,26,52,64,13,81,PM10,SEDANG,DKI4
