tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-05-01,68,43,20,104,17,104,O3,TIDAK SEHAT,DKI5
2017-05-02,62,39,27,85,31,85,O3,SEDANG,DKI3
2017-05-03,62,41,34,112,18,112,O3,TIDAK SEHAT,DKI3
2017-05-04,55,42,22,96,23,96,O3,SEDANG,DKI5
2017-05-05,56,42,23,94,16,94,O3,SEDANG,DKI3
2017-05-06,56,48,22,71,20,71,O3,SEDANG,DKI3
2017-05-07,53,40,26,74,15,74,O3,SEDANG,DKI3
2017-05-08,55,41,27,83,20,83,O3,SEDANG,DKI3
2017-05-09,69,42,30,77,20,77,O3,SEDANG,DKI3
2017-05-10,80,41,28,61,17,80,PM10,SEDANG,DKI4
2017-05-11,82,44,50,125,20,125,O3,TIDAK SEHAT,DKI2
2017-05-12,87,42,50,117,19,117,O3,TIDAK SEHAT,DKI3
2017-05-13,70,42,39,105,14,105,O3,TIDAK SEHAT,DKI3
2017-05-14,71,41,38,92,22,92,O3,SEDANG,DKI3
2017-05-15,85,46,41,115,16,115,O3,TIDAK SEHAT,DKI3
2017-05-16,88,44,41,108,15,108,O3,TIDAK SEHAT,DKI3
2017-05-17,102,44,46,93,19,102,PM10,TIDAK SEHAT,DKI4
2017-05-18,76,42,37,124,13,124,O3,TIDAK SEHAT,DKI5
2017-05-19,97,44,61,126,18,126,O3,TIDAK SEHAT,DKI5
2017-05-20,91,44,49,111,17,111,O3,TIDAK SEHAT,DKI3
2017-05-21,80,46,33,89,15,89,O3,SEDANG,DKI3
2017-05-22,65,45,36,98,13,98,O3,SEDANG,DKI3
2017-05-23,70,44,36,109,16,109,O3,TIDAK SEHAT,DKI5
2017-05-24,82,44,40,102,16,102,O3,TIDAK SEHAT,DKI3
2017-05-25,95,44,38,91,17,95,PM10,SEDANG,DKI4
2017-05-26,83,45,46,151,14,151,O3,TIDAK SEHAT,DKI2
2017-05-27,107,46,44,164,18,164,O3,TIDAK SEHAT,DKI3
2017-05-28,63,46,33,79,13,79,O3,SEDANG,DKI3
2017-05-29,63,43,34,62,10,63,PM10,SEDANG,DKI4
2017-05-30,62,48,40,52,15,62,PM10,SEDANG,DKI4
2017-05-31,56,45,31,56,15,56,PM10,SEDANG,DKI1
