tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-11-01,59,53,33,144,15,144,O3,TIDAK SEHAT,DKI5
2017-11-02,83,54,37,138,18,138,O3,TIDAK SEHAT,DKI2
2017-11-03,65,53,32,160,15,160,O3,TIDAK SEHAT,DKI5
2017-11-04,66,53,34,91,24,91,O3,SEDANG,DKI5
2017-11-05,72,53,43,81,18,81,O3,SEDANG,DKI5
2017-11-06,54,53,32,62,12,62,O3,SEDANG,DKI5
2017-11-07,51,53,31,56,11,56,O3,SEDANG,DKI3
2017-11-08,57,53,47,65,20,65,O3,SEDANG,DKI5
2017-11-09,59,53,34,75,16,75,O3,SEDANG,DKI2
2017-11-10,52,53,45,106,18,106,O3,TIDAK SEHAT,DKI4
2017-11-11,58,53,35,150,19,150,O3,TIDAK SEHAT,DKI1
2017-11-12,51,52,33,99,12,99,O3,SEDANG,DKI4
2017-11-13,51,53,37,66,19,66,O3,SEDANG,DKI2
2017-11-14,58,53,42,99,22,99,O3,SEDANG,DKI3
2017-11-15,48,53,32,121,29,121,O3,TIDAK SEHAT,DKI3
2017-11-16,72,54,30,125,19,125,O3,TIDAK SEHAT,DKI1
2017-11-17,57,54,57,126,26,126,O3,TIDAK SEHAT,DKI4
2017-11-18,60,55,31,110,16,110,O3,TIDAK SEHAT,DKI5
2017-11-19,56,53,36,85,16,85,O3,SEDANG,DKI5
2017-11-20,55,54,34,128,12,128,O3,TIDAK SEHAT,DKI1
2017-11-21,59,54,35,153,15,153,O3,TIDAK SEHAT,DKI5
2017-11-22,65,54,41,117,23,117,O3,TIDAK SEHAT,DKI4
2017-11-23,70,55,48,71,20,71,O3,SEDANG,DKI2
2017-11-24,40,53,29,42,18,53,SO2,SEDANG,DKI2
2017-11-25,40,53,30,38,7,53,SO2,SEDANG,DKI2
2017-11-26,28,53,25,37,6,53,SO2,SEDANG,DKI2
2017-11-27,20,53,26,37,7,53,SO2,SEDANG,DKI2
2017-11-28,19,53,26,33,7,53,SO2,SEDANG,DKI2
2017-11-29,25,53,25,37,15,53,SO2,SEDANG,DKI2
2017-11-30,29,53,32,43,13,53,SO2,SEDANG,DKI2
,,,,,,,,,
