tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-10-01,61,30,41,62,16,62,O3,SEDANG,DKI2
2016-10-02,54,30,31,41,7,54,PM10,SEDANG,DKI3
2016-10-03,56,30,32,137,11,137,O3,TIDAK SEHAT,DKI5
2016-10-04,66,30,56,126,22,126,O3,TIDAK SEHAT,DKI5
2016-10-05,69,30,52,203,22,203,O3,SANGAT TIDAK SEHAT,DKI2
2016-10-06,53,30,42,157,20,157,O3,TIDAK SEHAT,DKI2
2016-10-07,73,30,37,136,15,136,O3,TIDAK SEHAT,DKI2
2016-10-08,57,30,35,82,18,82,O3,SEDANG,DKI2
2016-10-09,52,30,41,100,13,100,O3,SEDANG,DKI2
2016-10-10,62,34,46,100,22,100,O3,SEDANG,DKI2
2016-10-11,63,30,56,72,24,72,O3,SEDANG,DKI5
2016-10-12,71,30,54,54,16,71,PM10,SEDANG,DKI1
2016-10-13,74,30,45,69,12,74,PM10,SEDANG,DKI4
2016-10-14,67,30,83,28,12,83,CO,SEDANG,DKI5
2016-10-15,53,30,32,62,10,62,O3,SEDANG,DKI3
2016-10-16,54,30,44,60,12,60,O3,SEDANG,DKI3
2016-10-17,63,38,42,122,8,122,O3,TIDAK SEHAT,DKI3
2016-10-18,66,31,37,115,20,115,O3,TIDAK SEHAT,DKI5
2016-10-19,58,31,35,80,11,80,O3,SEDANG,DKI3
2016-10-20,82,31,42,95,25,95,O3,SEDANG,DKI5
2016-10-21,81,31,42,105,17,105,O3,TIDAK SEHAT,DKI2
2016-10-22,87,30,53,72,26,87,PM10,SEDANG,DKI1
2016-10-23,36,30,33,57,8,57,O3,SEDANG,DKI3
2016-10-24,55,31,50,145,15,145,O3,TIDAK SEHAT,DKI5
2016-10-25,64,51,69,100,23,100,O3,SEDANG,DKI3
2016-10-26,51,30,39,133,11,133,O3,TIDAK SEHAT,DKI3
2016-10-27,59,31,42,133,14,133,O3,TIDAK SEHAT,DKI3
2016-10-28,59,31,38,120,13,120,O3,TIDAK SEHAT,DKI2
2016-10-29,55,35,63,85,20,85,O3,SEDANG,DKI2
2016-10-30,53,34,42,101,10,101,O3,TIDAK SEHAT,DKI2
2016-10-31,50,31,31,119,17,119,O3,TIDAK SEHAT,DKI2
