tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-09-01,62,30,44,85,23,85,O3,SEDANG,DKI3
2016-09-02,82,29,52,141,19,141,O3,TIDAK SEHAT,DKI3
2016-09-03,69,29,61,94,15,94,O3,SEDANG,DKI5
2016-09-04,73,42,42,69,18,73,PM10,SEDANG,DKI4
2016-09-05,62,29,39,48,10,62,PM10,SEDANG,DKI3
2016-09-06,66,30,60,61,11,66,PM10,SEDANG,DKI4
2016-09-07,61,29,43,62,15,62,O3,SEDANG,DKI5
2016-09-08,60,30,36,125,15,125,O3,TIDAK SEHAT,DKI5
2016-09-09,84,30,45,90,22,90,O3,SEDANG,DKI5
2016-09-10,94,31,52,73,12,94,PM10,SEDANG,DKI4
2016-09-11,61,30,41,74,11,74,O3,SEDANG,DKI5
2016-09-12,58,30,35,85,14,85,O3,SEDANG,DKI2
2016-09-13,64,31,43,85,14,85,O3,SEDANG,DKI5
2016-09-14,91,31,34,79,14,91,PM10,SEDANG,DKI4
2016-09-15,54,29,37,146,14,146,O3,TIDAK SEHAT,DKI2
2016-09-16,86,40,84,74,23,86,PM10,SEDANG,DKI2
2016-09-17,65,30,44,69,17,69,O3,SEDANG,DKI2
2016-09-18,58,30,35,96,13,96,O3,SEDANG,DKI2
2016-09-19,62,33,52,64,13,64,O3,SEDANG,DKI5
2016-09-20,66,29,63,87,18,87,O3,SEDANG,DKI2
2016-09-21,58,29,23,69,13,69,O3,SEDANG,DKI4
2016-09-22,48,29,28,60,18,60,O3,SEDANG,DKI4
2016-09-23,51,30,31,57,17,57,O3,SEDANG,DKI4
2016-09-24,56,30,43,48,12,56,PM10,SEDANG,DKI3
2016-09-25,55,30,66,71,12,71,O3,SEDANG,DKI2
2016-09-26,42,29,35,69,9,69,O3,SEDANG,DKI2
2016-09-27,62,30,50,95,18,95,O3,SEDANG,DKI2
2016-09-28,61,31,40,62,19,62,O3,SEDANG,DKI4
2016-09-29,54,30,38,96,13,96,O3,SEDANG,DKI3
2016-09-30,54,30,45,58,14,58,O3,SEDANG,DKI3
